Candidato;N;Partido;Coligacao;Votos;% Validos;status
DANILO MIKILIM;2045;PSC;PSC / PHS;4.561;0,02%;eliminado
MAUR«O;2050;PSC;PSC / PHS;5.519;0,03%;eliminado
MIRO FERNANDES;2051;PSC;PSC / PHS;518;0,00%;eliminado
LEO;2055;PSC;PSC / PHS;1.206;0,01%;eliminado
LINCOLN MAGALH«ES;2057;PSC;PSC / PHS;0;0,00%;eliminado
BUCK;2058;PSC;PSC / PHS;4.171;0,02%;eliminado
OMAR;2060;PSC;PSC / PHS;3.246;0,02%;eliminado
DONA HILDA SEM ESCOLA;2061;PSC;PSC / PHS;747;0,00%;eliminado
PRICILA LEME;2063;PSC;PSC / PHS;0;0,00%;eliminado
ANTONIO BUGALU;2064;PSC;PSC / PHS;2.785;0,01%;eliminado
DR. SANDOVAL;2066;PSC;PSC / PHS;973;0,00%;eliminado
DR. CARALAMBOS;2067;PSC;PSC / PHS;4.906;0,02%;eliminado
SIMONE GOMES;2068;PSC;PSC / PHS;1.164;0,01%;eliminado
SANDRA KUROKI;2069;PSC;PSC / PHS;316;0,00%;eliminado
MAURO SANTOS;2070;PSC;PSC / PHS;494;0,00%;eliminado
TEO CHINAIA;2071;PSC;PSC / PHS;726;0,00%;eliminado
DR¶. CARLA CASALE;2072;PSC;PSC / PHS;173;0,00%;eliminado
TONINHO CORREDOR;2074;PSC;PSC / PHS;2.18;0,01%;eliminado
RENE DO RAP;2075;PSC;PSC / PHS;877;0,00%;eliminado
ALEXANDRE DUARTE;2077;PSC;PSC / PHS;257;0,00%;eliminado
TONHO BAIANO;2080;PSC;PSC / PHS;2.062;0,01%;eliminado
DOUTORA SUZANA GOMES;2085;PSC;PSC / PHS;1.138;0,01%;eliminado
