CARLINHOS SILVA;4360;PV;;12721;eliminado
DR. ALEXANDRE;4044;PSB;PSL / PSB;12513;eliminado
LUIZA ELUF;4369;PV;;12506;eliminado
MALUCO BELEZA;3113;PHS;PSC / PHS;12304;eliminado
OSMAR LOPES;1314;PT;PRB / PT / PR / PC do B / PT do B;12292;eliminado
MARCOS CUNHA;2034;PSC;PSC / PHS;12279;eliminado
DANIEL MARINS;4312;PV;;12142;eliminado
DR. MARCELO;4550;PSDB;PPS / DEM / PSDB;12137;eliminado
DR. MÁRCIO PAMPURI;4379;PV;;12123;eliminado
DONIZETI PEREIRA;4355;PV;;12110;eliminado
FADUL;1299;PDT;;12072;eliminado
LAIR DA APAE;3356;PMN;;12018;eliminado
MARCELO PALINKAS;2526;DEM;PPS / DEM / PSDB;11954;eliminado
PROF POLLYANA GAMA;2351;PPS;PPS / DEM / PSDB;11753;eliminado
SALIM REIS;2550;DEM;PPS / DEM / PSDB;11694;eliminado
DONIZETE DA FARMACIA;3312;PMN;;11586;eliminado
JULIO CASTILHO;4313;PV;;11477;eliminado
GUSTAVO STUPP;1215;PDT;;11455;eliminado
CORONEL GILSON LOPES;2001;PSC;PSC / PHS;11304;eliminado
CORONEL EDSON SARDANO;2324;PPS;PPS / DEM / PSDB;11158;eliminado
KIM;1202;PDT;;10990;eliminado
MANDIC;2555;DEM;PPS / DEM / PSDB;10981;eliminado
APOSTOLO LEO;1777;PSL;PSL / PSB;10781;eliminado
CÉLIO TURINO;6513;PC DO B;PRB / PT / PR / PC do B / PT do B;10736;eliminado
ZÉ AMIGUINHO;4083;PSB;PSL / PSB;10615;eliminado
MARCELO CORREIA;1140;PP;;10466;eliminado
RICARDO OLIVEIRA;1415;PTB;;10449;eliminado
CHICO PELUCIO;2540;DEM;PPS / DEM / PSDB;10249;eliminado
J FARIA;4354;PV;;10242;eliminado
JANIO RIBEIRO;1358;PT;PRB / PT / PR / PC do B / PT do B;10089;eliminado
RUBENEUTON OLIVEIRA LIMA;1112;PP;;10085;eliminado
DRA DEBORA;1245;PDT;;10011;eliminado
CAMERON BRASIL;1969;PTN;;9964;eliminado
CHICO SANTA RITA;4322;PV;;9873;eliminado
PADRE FERNANDO;1477;PTB;;9693;eliminado
PAULO AFONSO;1347;PT;PRB / PT / PR / PC do B / PT do B;9640;eliminado
SAULO GOES;1225;PDT;;9288;eliminado
ELZA JANONI;3688;PTC;;9071;eliminado
PROFESSOR MOREIRA;1367;PT;PRB / PT / PR / PC do B / PT do B;8856;eliminado
DRª NILCE SEGALLA;1460;PTB;;8802;eliminado
LAYRTON INFANTE;1147;PP;;8719;eliminado
WALTER GONZALIS;4303;PV;;8653;eliminado
JOAO ARAUJO;7000;PT DO B;PRB / PT / PR / PC do B / PT do B;8637;eliminado
DR. MAZZEU;3650;PTC;;8585;eliminado
ITAMAR ALVES;1266;PDT;;8568;eliminado
NATAL SOARES;1110;PP;;8532;eliminado
DR PACHECO;2366;PPS;PPS / DEM / PSDB;8242;eliminado
IVANIO BATISTA;1300;PT;PRB / PT / PR / PC do B / PT do B;8020;eliminado
GERALDÃO;1577;PMDB;;7891;eliminado
AMAURY CAMARGO MONICO;4390;PV;;7861;eliminado
REVERENDO DINARTE;3680;PTC;;7839;eliminado
LALO;1120;PP;;7807;eliminado
INACIO JUNQUEIRA;4477;PRP;PSDC / PRTB / PRP;7729;eliminado
VALDIR ALVARENGA;4051;PSB;PSL / PSB;7710;eliminado
MARCOS CRIPPA;1436;PTB;;7570;eliminado
PROMOTOR ARTHUR;3699;PTC;;7544;eliminado
DR LÉO KAHN;1191;PP;;7396;eliminado
DR. PAULO VALENTIM;1521;PMDB;;7394;eliminado
DR. ABELHA;6500;PC DO B;PRB / PT / PR / PC do B / PT do B;7345;eliminado
PAMPA;4350;PV;;7342;eliminado
NENÊ MONTANHER;1509;PMDB;;7316;eliminado
NENÊ RÉSTIO;1510;PMDB;;7124;eliminado
BERQUE;4365;PV;;7040;eliminado
DR ANDRE ROCHA;1474;PTB;;7022;eliminado
CLEBER DELALIBERA;2007;PSC;PSC / PHS;6985;eliminado
SIRINEU BARBOSA;4599;PSDB;PPS / DEM / PSDB;6960;eliminado
VANDIR MOGNON;4060;PSB;PSL / PSB;6959;eliminado
DR MOYSES;1441;PTB;;6947;eliminado
DRA LAURISA;4359;PV;;6938;eliminado
WALTER SANDRO;4052;PSB;PSL / PSB;6879;eliminado
TUCÃO;1167;PP;;6850;eliminado
CARLINHOS SARAIVA;1417;PTB;;6795;eliminado
PEDRO ROBERTO;5041;PSOL;;6737;eliminado
TONINHO;1616;PSTU;;6709;eliminado
DR. JAIR;1535;PMDB;;6673;eliminado
ADHEMAR DE BARROS FILHO;1145;PP;;6632;eliminado
ERLON CHAVES;1210;PDT;;6571;eliminado
MARQUINHO;3311;PMN;;6530;eliminado
PAULINHO LARISSA SPOSITO;2342;PPS;PPS / DEM / PSDB;6522;eliminado
PH;1200;PDT;;6515;eliminado
UNALDO SANTOS;4056;PSB;PSL / PSB;6415;eliminado
LAERTE MOLLETA;4368;PV;;6352;eliminado
CARLOS AQUINO;1364;PT;PRB / PT / PR / PC do B / PT do B;6227;eliminado
PROFESSOR CLOVIS PINTO;4590;PSDB;PPS / DEM / PSDB;6159;eliminado
SERGIO KOBRA;1530;PMDB;;6098;eliminado
PROF SHIN;4388;PV;;6067;eliminado
TENENTE ORLANDO;2018;PSC;PSC / PHS;6004;eliminado
DR JOSÉ CLAUDIO;1104;PP;;6000;eliminado
DUDA VILELA;2031;PSC;PSC / PHS;6000;eliminado
JOÃO DA FARMÁCIA;1567;PMDB;;5989;eliminado
MARCOS TENÓRIO;1511;PMDB;;5971;eliminado
PROFESSOR JAIR BALESTRA;1302;PT;PRB / PT / PR / PC do B / PT do B;5828;eliminado
DR SEGURA;1488;PTB;;5802;eliminado
RODRIGO CHIZOLINI;5015;PSOL;;5787;eliminado
ROBERTO SIQUEIRA;1789;PSL;PSL / PSB;5757;eliminado
VANDERLEI TRISTÃO / TICO;1493;PTB;;5756;eliminado
LAURINDO BARNARDES;1127;PP;;5727;eliminado
CARLÃO FELIPE;1180;PP;;5715;eliminado
MARCÃO AUTO ESCOLA;3600;PTC;;5691;eliminado
